Instance,INF_avg,INF_sd,INF_r1,INF_kr,INF_sk,SUP_avg,SUP_sd,SUP_r1,SUP_kr,SUP_sk,INC_avg,INC_sd,INC_r1,INC_kr,INC_sk,IND_avg,IND_sd,IND_r1,IND_kr,IND_sk,NSGAII,MOEAD
196,0.258,0.0530659966,-0.5670672296,1.2817423166,-0.2495820114,0.224,0.0241660919,-0.4172335601,1.8297053856,0.1224403232,0.518,0.0577581163,-0.4323543572,2.1966340597,-0.5136778455,0.518,0.0577581163,-0.4323543572,2.1966340597,-0.5136778455,1.0117763362449999,1.00859853615825
197,0.27,0.0521536192,0.0459770115,1.4932958478,0.1268875901,0.198,0.0193907194,0.3065693431,2.3587596197,0.2830922144,0.532,0.04621688,0.089277703,1.4864916046,0.3097268083,0.532,0.04621688,0.089277703,1.4864916046,0.3097268083,0.90409360192,0.8478968392974998
198,0.238,0.0222710575,-0.25,2.0793444329,-0.6170311183,0.274,0.0717216843,-0.3532830663,2.4331670895,-0.54370355,0.488,0.0746726188,-0.2604256543,1.9944268221,-0.222722561,0.488,0.0746726188,-0.2604256543,1.9944268221,-0.222722561,0.9529957965299998,0.9225913261047
199,0.236,0.0412795349,-0.5708931918,1.2724657806,0.2688642588,0.256,0.0574804315,-0.6258218769,1.5086592523,0.2259533051,0.508,0.0597996656,-0.4633493847,2.1140714382,0.6044791501,0.508,0.0597996656,-0.4633493847,2.1140714382,0.6044791501,0.9272977849350001,0.8738644201525002
2,0.304,0.0688767014,-0.1847563083,1.7002479745,-0.1401433813,0.186,0.0326190129,-0.0577673692,2.4066086268,-0.5061857103,0.51,0.0660302961,-0.1843317972,1.3940324888,-0.1500562237,0.51,0.0660302961,-0.1843317972,1.3940324888,-0.1500562237,0.8423511461200002,0.7947299649439998
20,0.198,0.0213541565,-0.1554192229,1.7206832872,0.1380231722,0.316,0.0649923072,0.1900311526,2.2685950413,0.1790421687,0.486,0.0546260011,0.0365493147,2.5045137965,0.4752767171,0.486,0.0546260011,0.0365493147,2.5045137965,0.4752767171,0.9383046671899999,0.9101186528080001
200,0.216,0.0535163526,-0.2244027304,2.3800209107,0.6839657441,0.288,0.0479165942,0.12338794,2.592364846,-0.9236432693,0.496,0.024979992,-0.1833105335,2.5103550296,-1.0038803489,0.496,0.024979992,-0.1833105335,2.5103550296,-1.0038803489,0.9432230595150001,0.9238819566140002
201,0.242,0.0337045991,-0.6619452314,1.2910632811,0.0150437112,0.272,0.0411825206,-0.6008004002,1.8732867569,-0.0914016649,0.486,0.0344093011,-0.5677966102,2.6519357195,1.017952296,0.486,0.0344093011,-0.5677966102,2.6519357195,1.017952296,0.7813460817639999,0.7733562482724999
202,0.296,0.0344093011,0.6950578339,1.4295562454,0.0459492356,0.266,0.0387814389,-0.098343132,2.8404538253,1.1677553844,0.438,0.0624179461,0.2155460181,2.7057941805,-1.1481850263,0.438,0.0624179461,0.2155460181,2.7057941805,-1.1481850263,0.8573904149189999,0.8501912250034002
203,0.364,0.0361109402,-0.5815760266,2.1690880349,0.0825676396,0.236,0.0366606056,-0.1245819398,2.5245535714,-0.7998075352,0.4,0.0481663783,-0.5043478261,2.4152794293,0.3006819098,0.4,0.0481663783,-0.5043478261,2.4152794293,0.3006819098,0.9834010719505001,0.9813705905066001
204,0.236,0.0224499443,-0.0757314974,1.6957671958,-0.5557336935,0.27,0.0419523539,-0.3174603175,1.2732438017,-0.2437830484,0.494,0.0546260011,-0.5243902439,1.7282557914,0.4081372552,0.494,0.0546260011,-0.5243902439,1.7282557914,0.4081372552,0.94849855291,0.8982780190364998
205,0.32,0.0554977477,-0.6285714286,1.3429752066,-0.168487006,0.238,0.0435430821,-0.0047129392,2.4805586712,-0.780254449,0.442,0.0519230199,-0.393831554,2.3406959646,-0.7571126014,0.442,0.0519230199,-0.393831554,2.3406959646,-0.7571126014,0.7066967706384999,0.6913092713804999
206,0.348,0.0676461381,-0.4896403906,2.4905649421,0.8285093003,0.258,0.0649307323,0.0437845999,1.2618433797,-0.0310358469,0.394,0.052,-0.2192227826,2.5935103813,0.9749658625,0.394,0.052,-0.2192227826,2.5935103813,0.9749658625,0.9385784066500001,0.8671011740055
207,0.2,0.0368781778,0.1016949153,2.7724913495,1.1484553649,0.322,0.04621688,0.1040242976,2.3070950638,-0.7842846809,0.478,0.0248193473,-0.4741641337,2.0324675325,0.621634858,0.478,0.0248193473,-0.4741641337,2.0324675325,0.621634858,0.7091500058714999,0.6971847377834999
208,0.238,0.0691086102,-0.4204263758,1.2247460081,-0.3100501605,0.298,0.042142615,-0.617965368,1.9899561724,0.7169990806,0.464,0.0700285656,-0.5125288493,2.1867969417,0.3782189959,0.464,0.0700285656,-0.5125288493,2.1867969417,0.3782189959,0.865808805832,0.8533144580705001
